callsign entry_ac entry_recat entry_waypoint entry_RAT entry_speed entry_time2 ICAO
AHK205 A306 CAT_C 14 1996.26 411.98724 0.0 H
CAL5823 B747 CAT_B 44 56.111 154.90728 0.12 H
HKE627 A320 CAT_D 1 1043.713 341.23536 0.976 M
AHK783 A306 CAT_C 44 359.828 239.50188 68.491 H
SVA982 B777 CAT_B 44 40.337 241.91892 145.877 H
CPA078 B747 CAT_B 30 1939.051 516.57732 252.803 H
SIA7868 B747 CAT_B 44 362.913 236.64564 329.72 H
AHK129 A306 CAT_C 1 1387.717 427.14828 403.336 H
KAL313 B747 CAT_B 44 349.159 222.58296 480.507 H
CRK313 A330 CAT_B 44 740.091 359.69256 520.559 H
AHK209 A306 CAT_C 44 345.106 241.69932 735.607 H
AHK842 A306 CAT_C 33 1599.512 537.2316 1094.448 H
CRK623 A320 CAT_D 14 2055.362 408.25188 1274.294 M
CRK613 A330 CAT_B 14 2195.307 418.7988 1485.219 H
EVA6535 B777 CAT_B 14 2075.435 445.82508 1875.476 H
AHK316 A306 CAT_C 25 2082.487 496.14264 2234.755 H
HKC318 A330 CAT_B 44 33.9 205.66404 2501.012 H
HDA227 A330 CAT_B 30 1949.927 494.16516 2987.875 H
CPA081 B748 CAT_B 44 725.813 361.01088 3984.306 H
CKS247 B747 CAT_B 44 505.809 388.03716 3986.86 H
HKC571 A330 CAT_B 14 2175.199 403.85736 4533.363 H
BOX514 B777 CAT_B 44 406.461 375.95232 6218.028 H
HDA103 A330 CAT_B 33 1181.545 518.11524 9060.998 H
HKC569 A330 CAT_B 14 2411.35 415.7226 10024.041 H
HKE764 A320 CAT_D 33 1181.074 536.13288 10066.61 M
ANA821 B767 CAT_C 14 2476.516 429.78528 10145.401 H
ETD9843 B777 CAT_B 44 300.795 395.50788 10596.64 H
CPA869 A359 CAT_B 44 254.677 367.16292 11206.404 H
CPA3261 B747 CAT_B 44 395.226 371.55744 11601.037 H
CKK263 B777 CAT_B 2 2402.584 463.18356 11724.245 H
QFA117 A330 CAT_B 23 2207.225 451.97748 11728.388 H
CPA829 B777 CAT_B 44 353.441 349.14564 11822.793 H
CPA138 B777 CAT_B 23 2349.732 470.87388 11953.644 H
CPA811 B777 CAT_B 44 686.508 353.97936 12076.131 H
CPA899 A359 CAT_B 44 445.53 377.9298 12510.701 H
QTR8406 B777 CAT_B 44 475.365 296.19144 12678.65 H
CPA845 B777 CAT_B 44 911.873 366.06456 12849.372 H
CPA676 A359 CAT_B 44 633.814 318.6036 12920.987 H
HDA251 A320 CAT_D 33 2311.376 526.4647199999999 13388.54 M
ICV6755 B748 CAT_B 44 597.489 369.36036 13950.86 H
HKC9004 A330 CAT_B 1 1769.342 424.51164 13994.814 H
CPA746 B777 CAT_B 44 599.163 360.13176 14126.142 H
CPA857 A359 CAT_B 44 677.62 283.44744 14477.352 H
GIA876 B737 CAT_D 25 2271.596 475.0488 14529.46 M
CPA883 B777 CAT_B 14 2140.675 446.26464 15039.151 H
CPA292 A359 CAT_B 44 283.308 417.70008 16083.633 H
CPA714 B777 CAT_B 25 2067.467 501.85548000000006 16113.374 H
CPA270 A359 CAT_B 44 271.865 352.22184000000004 16287.267 H
CRK708 A330 CAT_B 23 2116.906 452.8566 16350.928 H
CPA698 B777 CAT_B 33 1327.478 532.17756 17372.443 H
CPA881 B777 CAT_B 14 1963.803 433.30068 17800.315 H
CPA851 A359 CAT_B 14 2051.775 439.45308 17823.705 H
CPA178 B777 CAT_B 23 2053.168 476.14752 17915.623 H
UAE386 B777 CAT_B 44 409.881 363.64752 18171.617 H
CPA216 A359 CAT_B 44 514.486 369.79992 18404.174 H
CPA865 B777 CAT_B 44 416.349 360.35172 18690.553 H
ANA8423 B763 CAT_C 14 2130.832 414.62388 18733.629 H
CPA748 B777 CAT_B 33 1442.447 532.39752 18747.114 H
CPA170 A359 CAT_B 23 2221.798 467.57808 18767.354 H
QTR8400 B777 CAT_B 44 393.609 374.8536 19274.906 H
CPA354 A359 CAT_B 44 416.731 392.43168 19664.339 H
CRK780 A359 CAT_B 33 1652.367 536.57244 19686.115 H
CPA288 B777 CAT_B 44 674.171 371.33784 19701.151 H
CKS252 B747 CAT_B 17 2412.289 464.06232 19707.425 H
AIC314 B788 CAT_B 44 673.221 397.0458 19793.115 H
CPA040 B747 CAT_B 33 2011.343 555.68844 19965.399 H
AAL193 B777 CAT_B 44 698.087 293.11524000000003 20008.204 H
CPA318 A359 CAT_B 44 897.476 297.0702 20243.434 H
CPA696 B777 CAT_B 44 1133.676 403.85736 20343.659 H
CPA260 B777 CAT_B 44 1088.34 305.85924 20547.666 H
CPA252 B777 CAT_B 44 1130.887 359.25300000000004 20704.611 H
HDA997 A320 CAT_D 44 1444.49 355.73724 20791.521 M
FIN101 A359 CAT_B 44 1679.568 330.02928 20946.302 H
PAC969 B747 CAT_B 14 2184.661 425.82996 21169.591 H
CPA463 A330 CAT_B 14 2184.187 411.54768 21276.536 H
CPA382 A359 CAT_B 44 1415.829 291.13776 21407.583 H
CLX4625 B748 CAT_B 44 1521.607 326.73348 21510.599 H
CPA976 A330 CAT_B 17 2165.726 429.34572 21656.027 H
CPA156 A359 CAT_B 17 2219.497 450.43956 21725.139 H
HDA169 A320 CAT_D 33 1595.259 522.94932 21972.722 M
EVA6817 B777 CAT_B 14 2084.82 424.07244 22929.816 H
IGO1773 A320 CAT_D 44 790.089 361.01088 22932.724 M
HDA111 A330 CAT_B 33 1289.744 504.49212 23148.668 H
BML5413 B747 CAT_B 44 899.012 324.97560000000004 23197.217 H
HKC352 A330 CAT_B 17 1976.373 417.70008 23222.102 H
CPA234 B777 CAT_B 44 447.759 370.67868 23814.237 H
CEB150 A320 CAT_D 17 2144.674 419.67756 24122.713 M
CEB272 A330 CAT_B 17 2162.602 429.12612 24232.853 H
CRK762 A330 CAT_B 33 1270.969 504.71208 24601.126 H
CPA798 A359 CAT_B 25 2161.093 491.52816 24671.808 H
CRK539 A320 CAT_D 30 1943.432 494.16516 24741.655 M
SEJ031 B737 CAT_D 44 389.069 366.50376 24960.72 M
CPA610 A330 CAT_B 33 1383.043 496.5822 25145.89 H
EVA891 A320 CAT_D 14 1995.446 396.6066 25275.437 M
CPA465 A330 CAT_B 14 2038.545 409.3506 25513.308 H
CPA085 B748 CAT_B 44 395.436 332.22672 25576.213 H
CAL933 A330 CAT_B 14 1949.271 431.5428 26178.573 H
MDA1819 E190 CAT_E 14 2192.002 386.71884 26266.948 M
CEB240 A320 CAT_D 17 1969.052 422.97372 26403.04 M
HDA617 A330 CAT_B 1 1413.181 376.17192 26802.126 H
HDA459 A330 CAT_B 14 1998.285 405.61524 26840.127 H
WGN2541 MD11 CAT_C 14 1870.055 444.50676 27100.743 H
PAC735 B747 CAT_B 14 1944.992 425.39076 27157.044 H
CRK647 A320 CAT_D 14 2119.562 396.8262 27178.608 M
CRK782 A330 CAT_B 17 2181.087 424.73142 27224.939 H
AXM237 A320 CAT_D 23 2481.418 440.7714 27251.616 M
CAL601 A330 CAT_B 14 2082.301 415.28304 27432.942 H
CPA772 A330 CAT_B 30 1966.811 483.17868 27653.765 H
AAR952 B747 CAT_B 44 544.912 366.72372 28047.607 H
AIQ515 A320 CAT_D 33 1511.305 491.08896 28314.193 M
TGW978 A320 CAT_D 25 2196.488 473.07132 28477.397 M
CRK331 A320 CAT_D 44 742.746 357.93468 28478.779 M
CPA632 B777 CAT_B 33 1456.238 532.17756 28581.44 H
HKE697 A320 CAT_D 14 1976.537 402.31944 28588.84 M
CRK285 A330 CAT_B 14 2167.904 420.77628 29128.069 H
AFL212 B777 CAT_B 44 739.157 352.22184000000004 29192.809 H
CPA407 B777 CAT_B 14 2160.367 422.53416 29276.686 H
HDA857 A320 CAT_D 2 2531.554 416.38176 29419.186 M
HDA153 A330 CAT_B 33 1255.038 500.31756 29747.633 H
CPA018 B747 CAT_B 33 1389.847 521.4110400000001 29788.74 H
CPA694 A330 CAT_B 33 1691.913 497.46096 29957.947 H
AIQ508 A320 CAT_D 33 1732.843 505.15128 30017.516 M
ETD834 B789 CAT_B 44 374.306 381.4452 30074.923 H
CRK231 A359 CAT_B 2 1974.586 405.61524 30314.442 H
HKE625 A320 CAT_D 14 2312.922 403.85736 30500.092 M
EVA851 A330 CAT_B 14 2710.492 397.26576 30540.606 H
CPA616 A330 CAT_B 33 1507.839 493.7256 30655.942 H
CCA411 A320 CAT_D 44 880.114 359.91216 30662.889 M
CEB110 A330 CAT_B 17 2648.101 432.20232 30698.158 H
CSZ9091 A320 CAT_D 1 1630.63 406.494 30883.836 M
CES765 A320 CAT_D 44 866.285 319.92192 30985.113 M
HDA623 A320 CAT_D 1 1672.411 434.3994 31042.881 M
CRK156 A320 CAT_D 33 1990.939 426.92868 31152.324 M
CES2901 A320 CAT_D 1 1390.62 417.70008 31161.99 M
KLM887 B747 CAT_B 44 612.8 370.89828 31444.417 H
MDA981 E190 CAT_E 14 2049.495 420.33708 31516.516 M
CPA025 A306 CAT_C 14 2294.428 393.09084 31523.914 H
CPA660 B777 CAT_B 44 703.275 379.90728 31695.64 H
CRK6353 A320 CAT_D 44 786.444 362.98836 31824.669 M
CRK499 A320 CAT_D 44 817.184 333.98424 32105.554 M
HDA643 A320 CAT_D 1 1565.0 431.3232 32116.921 M
CAL903 A330 CAT_B 14 1907.953 430.44444 32249.418 H
KAL603 B777 CAT_B 14 2002.686 420.11712 32301.998 H
HDA871 A320 CAT_D 2 2127.202 437.03604 32377.147 M
CES721 A320 CAT_D 1 1453.934 418.13964 32571.438 M
PAL300 B777 CAT_B 17 2082.569 433.52064 32742.226 H
CRK453 A320 CAT_D 44 691.476 361.45008 32766.52 M
CPA650 A330 CAT_B 25 2641.266 477.68544 32795.939 H
CAL641 A330 CAT_B 14 2103.802 420.33708 32818.953 H
CPA059 B747 CAT_B 2 2122.34 428.90616 32994.871 H
MAS6108 A330 CAT_B 25 2457.854 477.24624 33427.51 H
CRK129 A330 CAT_B 1 1683.01 415.7226 33536.382 H
SIA890 B777 CAT_B 25 2410.635 488.67192 33677.792 H
CXA8017 B737 CAT_D 1 1742.129 422.31456 33811.524 M
ETH3618 B777 CAT_B 44 510.947 315.5274 33885.438 H
HKE227 A320 CAT_D 1 1755.885 418.13964 33897.397 M
HDA955 A320 CAT_D 2 2385.527 430.88364 34116.325 M
CSN3075 B737 CAT_D 44 480.393 362.10924 34140.591 M
AXM138 A320 CAT_D 25 2394.915 478.56456 34208.692 M
HDA825 A320 CAT_D 44 441.574 394.18956 34288.605 M
CPA403 B777 CAT_B 14 2443.129 424.7316 34355.923 H
HDA863 A320 CAT_D 1 1636.903 428.90616 34360.808 M
HDA937 A330 CAT_B 44 604.966 343.6524 34401.205 H
CPA415 A330 CAT_B 14 2256.646 413.30556 34643.277 H
CXA381 B737 CAT_D 1 1746.536 385.83972 34663.5 M
HDA692 A330 CAT_B 30 2435.039 468.4572 34666.566 H
CPA051 B747 CAT_B 44 615.798 369.36036 34708.761 H
HDA831 A330 CAT_B 2 2256.401 415.28304 34973.838 H
CDG4789 B737 CAT_D 44 607.245 350.244 35168.188 M
HDA453 A320 CAT_D 14 2237.158 427.14828 35432.414 M
CRK363 A330 CAT_B 44 668.657 383.20308 35515.287 H
QTR8426 B748 CAT_B 44 743.465 360.13176 35545.851 H
CES501 A320 CAT_D 2 2311.345 418.7988 35600.295 M
ESR931 B737 CAT_D 14 2313.155 403.85736 35689.76 M
THA600 B777 CAT_B 33 1659.864 515.03904 35787.142 H
CPA646 A330 CAT_B 44 764.991 355.73724 35948.12 H
CPA752 A330 CAT_B 25 2475.951 469.77552 35949.459 H
HDA781 A330 CAT_B 44 978.972 319.92192 36029.254 H
HDA905 A330 CAT_B 44 929.13 332.00676 36404.872 H
CQH8921 A320 CAT_D 2 2124.324 422.97372 36412.264 M
CPA469 A330 CAT_B 14 2307.381 409.5702 36431.035 H
CRK221 A320 CAT_D 1 1625.885 416.16216 36485.298 M
CCA101 A330 CAT_B 44 837.96 324.97560000000004 36720.595 H
CPA700 A330 CAT_B 33 1506.347 492.62688 36819.419 H
CLU584 B748 CAT_B 44 893.574 322.119 36891.513 H
CRK768 A320 CAT_D 33 1898.511 483.39828 36979.736 M
