flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,8,74551.723174203,1,74641.26034999738,89.5371757943751,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,1,74641.26034999738,2,74890.16940969962,248.90905970224156,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,2,74890.16940969962,7,75347.89907392576,457.72966422613615,pms,178.7629790342432
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,7,75347.89907392576,17,75405.39674587024,57.497671944478526,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,17,75405.39674587024,18,75476.82441828637,71.42767241613575,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,18,75476.82441828637,19,75551.70847106856,74.88405278218197,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,8,78702.99089889678,1,78806.16618756049,103.17528866371698,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,1,78806.16618756049,2,79092.98854774718,286.8223601866889,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,2,79092.98854774718,7,79496.57646890412,403.58792115693745,pms,82.12962166429261
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,7,79496.57646890412,17,79562.83206438982,66.25559548569048,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,17,79562.83206438982,18,79645.13944849848,82.30738410865973,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,18,79645.13944849848,19,79731.42968150576,86.29023300728252,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,12,68994.25329310558,13,69277.82196002819,283.5686669226145,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,13,69277.82196002819,14,69471.6030709329,193.7811109047135,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,14,69471.6030709329,20,69601.92578833614,130.3227174032376,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,20,69601.92578833614,21,69671.85632930741,69.93054097127145,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,12,49231.60880037038,13,49525.933520176266,294.3247198058861,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,13,49525.933520176266,14,49727.064949080814,201.13142890454745,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,14,49727.064949080814,20,49862.33094197176,135.2659928909466,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,20,49862.33094197176,19,49945.61913408275,83.28819211098934,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,9,84582.80586951408,3,84746.53710086351,163.7312313494263,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,3,84746.53710086351,4,84859.02368549266,112.48658462915752,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,4,84859.02368549266,5,84940.89080315441,81.86711766174626,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,5,84940.89080315441,0,84992.4196129776,51.52880982318132,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,0,84992.4196129776,7,85342.53589027609,350.1162772984936,pms,92.84756479622732
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,7,85342.53589027609,17,85402.76462375595,60.2287334798583,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,17,85402.76462375595,18,85477.58501386135,74.82039010539775,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,18,85477.58501386135,19,85556.02595771843,78.44094385708061,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,11,43565.87541278525,6,43715.87875848132,150.00334569606537,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,6,43715.87875848132,4,43890.93148857725,175.05273009592915,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,4,43890.93148857725,5,43969.40657031764,78.47508174039282,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,5,43969.40657031764,0,44018.80036453386,49.393794216219334,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,0,44018.80036453386,7,44430.33309862976,411.53273409589536,pms,164.92354814314874
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,7,44430.33309862976,17,44488.06634877887,57.73325014910994,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,17,44488.06634877887,18,44559.78667309307,71.72032431419943,normal,0.0
5,ADD9015_1,43410.87541278525,207.32111111111112,1,11 6 4 5 0 7 17 18 21,18,44559.78667309307,21,44643.94723604758,84.16056295451007,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,9,60428.7160485113,3,60598.69976625788,169.98371774658253,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,3,60598.69976625788,4,60715.48193233756,116.78216607968346,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,4,60715.48193233756,5,60800.47535055502,84.9934182174542,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,5,60800.47535055502,0,60853.97191680332,53.496566248304056,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,0,60853.97191680332,7,61303.752792735104,449.78087593178714,pms,182.6877144708405
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,7,61303.752792735104,17,61366.281510974724,62.52871823962039,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,17,61366.281510974724,18,61443.95910472727,77.67759375254762,normal,0.0
6,CZ3436_3421b4b8.csv_1,60398.7160485113,164.62222222222223,1,9 3 4 5 0 7 17 18 19,18,61443.95910472727,19,61525.39551212789,81.43640740062288,normal,0.0
7,CZ6588_3421746a.csv_1,55081.07191702249,166.16555555555556,1,8 1 2 7 17 18 19,8,55081.07191702249,1,55177.53921478237,96.467297759884,normal,0.0
7,CZ6588_3421746a.csv_1,55081.07191702249,166.16555555555556,1,8 1 2 7 17 18 19,1,55177.53921478237,2,55445.71368158231,268.1744667999383,normal,0.0
