flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,8,74566.723174203,1,74656.26034999738,89.5371757943751,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,1,74656.26034999738,2,74905.16940969962,248.90905970224156,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,2,74905.16940969962,7,75373.6780725943,468.50866289467615,pms,189.54197770278319
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,7,75373.6780725943,17,75431.17574453878,57.497671944478526,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,17,75431.17574453878,18,75502.60341695491,71.42767241613575,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,18,75502.60341695491,19,75577.4874697371,74.88405278218197,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,8,78872.99089889678,1,78976.16618756049,103.17528866371698,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,1,78976.16618756049,2,79262.98854774718,286.8223601866889,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,2,79262.98854774718,7,79782.7555326047,519.7669848575188,pms,198.308685364874
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,7,79782.7555326047,17,79849.0111280904,66.25559548569048,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,17,79849.0111280904,18,79931.31851219905,82.30738410865973,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,18,79931.31851219905,19,80017.60874520634,86.29023300728252,normal,0.0
2,CZ6588_3421746a.csv_1,55081.253293105576,166.16555555555556,1,8 1 2 7 17 18 19,8,55081.253293105576,1,55177.72059086546,96.467297759884,normal,0.0
2,CZ6588_3421746a.csv_1,55081.253293105576,166.16555555555556,1,8 1 2 7 17 18 19,1,55177.72059086546,2,55445.895057665395,268.1744667999383,normal,0.0
2,CZ6588_3421746a.csv_1,55081.253293105576,166.16555555555556,1,8 1 2 7 17 18 19,2,55445.895057665395,7,55923.26260585638,477.3675481909805,pms,176.80901430002456
2,CZ6588_3421746a.csv_1,55081.253293105576,166.16555555555556,1,8 1 2 7 17 18 19,7,55923.26260585638,17,55985.21056200709,61.94795615070751,normal,0.0
2,CZ6588_3421746a.csv_1,55081.253293105576,166.16555555555556,1,8 1 2 7 17 18 19,17,55985.21056200709,18,56062.16669204057,76.95613003348372,normal,0.0
2,CZ6588_3421746a.csv_1,55081.253293105576,166.16555555555556,1,8 1 2 7 17 18 19,18,56062.16669204057,19,56142.84672414026,80.6800320996883,normal,0.0
3,CZ6642_34224fa4.csv,83620.60880037038,153.8188888888889,1,8 1 2 7 17 18 19,8,83570.60880037038,1,83674.81929259928,104.2104922289048,normal,0.0
3,CZ6642_34224fa4.csv,83620.60880037038,153.8188888888889,1,8 1 2 7 17 18 19,1,83674.81929259928,2,83964.51946910891,289.7001765096323,normal,0.0
3,CZ6642_34224fa4.csv,83620.60880037038,153.8188888888889,1,8 1 2 7 17 18 19,2,83964.51946910891,7,84413.87652735414,449.35705824522995,pms,124.67342464396322
3,CZ6642_34224fa4.csv,83620.60880037038,153.8188888888889,1,8 1 2 7 17 18 19,7,84413.87652735414,17,84480.79689470089,66.92036734675092,normal,0.0
3,CZ6642_34224fa4.csv,83620.60880037038,153.8188888888889,1,8 1 2 7 17 18 19,17,84480.79689470089,18,84563.93010540596,83.1332107050677,normal,0.0
3,CZ6642_34224fa4.csv,83620.60880037038,153.8188888888889,1,8 1 2 7 17 18 19,18,84563.93010540596,19,84651.0861267043,87.1560212983255,normal,0.0
4,DZ6278_3420deed.csv,33509.805869514086,155.87666666666667,1,8 1 2 7 17 18 19,8,33509.805869514086,1,33612.640645673964,102.83477615987636,normal,0.0
4,DZ6278_3420deed.csv,33509.805869514086,155.87666666666667,1,8 1 2 7 17 18 19,1,33612.640645673964,2,33898.51639741119,285.8757517372279,normal,0.0
4,DZ6278_3420deed.csv,33509.805869514086,155.87666666666667,1,8 1 2 7 17 18 19,2,33898.51639741119,7,34477.67030541913,579.1539080079408,pms,258.7565269954696
4,DZ6278_3420deed.csv,33509.805869514086,155.87666666666667,1,8 1 2 7 17 18 19,7,34477.67030541913,17,34543.70723557319,66.03693015405455,normal,0.0
4,DZ6278_3420deed.csv,33509.805869514086,155.87666666666667,1,8 1 2 7 17 18 19,17,34543.70723557319,18,34625.742978150134,82.035742576948,normal,0.0
4,DZ6278_3420deed.csv,33509.805869514086,155.87666666666667,1,8 1 2 7 17 18 19,18,34625.742978150134,19,34711.74842490987,86.00544675973374,normal,0.0
5,ADD8024,66226.87541278524,171.82444444444445,2,8 1 2 7 17 18 19,8,66226.87541278524,1,66320.16564385244,93.29023106719322,normal,0.0
5,ADD8024,66226.87541278524,171.82444444444445,2,8 1 2 7 17 18 19,1,66320.16564385244,2,66579.50801743442,259.34237358197623,normal,0.0
5,ADD8024,66226.87541278524,171.82444444444445,2,8 1 2 7 17 18 19,2,66579.50801743442,7,67058.3960840453,478.8880666108688,pms,188.22816706961507
5,ADD8024,66226.87541278524,171.82444444444445,2,8 1 2 7 17 18 19,7,67058.3960840453,17,67118.30383804733,59.90775400203152,normal,0.0
5,ADD8024,66226.87541278524,171.82444444444445,2,8 1 2 7 17 18 19,17,67118.30383804733,18,67192.72548475636,74.42164670902767,normal,0.0
5,ADD8024,66226.87541278524,171.82444444444445,2,8 1 2 7 17 18 19,18,67192.72548475636,19,67270.74839005037,78.02290529400995,normal,0.0
6,ZH9218_34212209.csv,42886.7160485113,154.33333333333334,1,8 1 2 7 17 18 19,8,42616.7160485113,1,42721.628294896625,104.91224638532839,normal,0.0
6,ZH9218_34212209.csv,42886.7160485113,154.33333333333334,1,8 1 2 7 17 18 19,1,42721.628294896625,2,43013.27931434572,291.6510194490911,normal,0.0
