flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,8,74611.723174203,1,74701.26034999738,89.5371757943751,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,1,74701.26034999738,2,74950.16940969962,248.90905970224156,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,2,74950.16940969962,7,75304.80232993104,354.6329202314267,pms,75.66623503953372
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,7,75304.80232993104,17,75362.30000187553,57.497671944478526,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,17,75362.30000187553,18,75433.72767429166,71.42767241613575,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,8 1 2 7 17 18 19,18,75433.72767429166,19,75508.61172707385,74.88405278218197,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,8,78872.99089889678,1,78976.16618756049,103.17528866371698,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,1,78976.16618756049,2,79262.98854774718,286.8223601866889,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,2,79262.98854774718,7,79687.21314440087,424.22459665368524,pms,102.76629716104044
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,7,79687.21314440087,17,79753.46873988656,66.25559548569048,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,17,79753.46873988656,18,79835.77612399522,82.30738410865973,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,8 1 2 7 17 18 19,18,79835.77612399522,19,79922.0663570025,86.29023300728252,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,12,68994.25329310558,13,69277.82196002819,283.5686669226145,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,13,69277.82196002819,14,69471.6030709329,193.7811109047135,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,14,69471.6030709329,20,69601.92578833614,130.3227174032376,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,20,69601.92578833614,21,69671.85632930741,69.93054097127145,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,12,49226.60880037038,13,49520.933520176266,294.3247198058861,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,13,49520.933520176266,14,49722.064949080814,201.13142890454745,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,14,49722.064949080814,20,49857.33094197176,135.2659928909466,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 19,20,49857.33094197176,19,49940.61913408275,83.28819211098934,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,9,84692.80586951408,3,84853.26247623652,160.45660672243778,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,3,84853.26247623652,4,84963.4993291731,110.23685293657437,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,4,84963.4993291731,5,85043.72910448161,80.22977530851135,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,5,85043.72910448161,0,85094.22733810832,50.49823362671769,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,0,85094.22733810832,7,85488.9562213079,394.7288831995759,pms,142.60554494735484
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,7,85488.9562213079,17,85547.98038011817,59.024158810261135,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,17,85547.98038011817,18,85621.30436242146,73.3239823032898,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,9 3 4 5 0 7 17 18 19,18,85621.30436242146,19,85698.1764874014,76.872124979939,normal,0.0
