flightNumber,callSign,entryTime,speed_in,wtCat,route,nodeOri,tOri,nodeDest,tDest,travelTime,linkType,timeOnPMSRing
0,ADD8633_1,74566.723174203,179.02666666666667,2,0 1 5 17 18 19,0,74366.723174203,1,74456.26034999738,89.5371757943751,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,0 1 5 17 18 19,1,74456.26034999738,5,74593.08570143617,136.8253514387957,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,0 1 5 17 18 19,5,74593.08570143617,17,74650.58337338065,57.497671944478526,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,0 1 5 17 18 19,17,74650.58337338065,18,74722.01104579678,71.42767241613575,normal,0.0
0,ADD8633_1,74566.723174203,179.02666666666667,2,0 1 5 17 18 19,18,74722.01104579678,19,74796.89509857897,74.88405278218197,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,0 1 5 17 18 19,0,79272.99089889678,1,79376.16618756049,103.17528866371698,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,0 1 5 17 18 19,1,79376.16618756049,5,79533.83248656943,157.66629900894338,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,0 1 5 17 18 19,5,79533.83248656943,17,79600.08808205512,66.25559548569048,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,0 1 5 17 18 19,17,79600.08808205512,18,79682.39546616378,82.30738410865973,normal,0.0
1,CZ3174_342206c3.csv_1,78872.99089889678,155.36222222222224,2,0 1 5 17 18 19,18,79682.39546616378,19,79768.68569917107,86.29023300728252,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,12,68994.25329310558,13,69277.82196002819,283.5686669226145,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,13,69277.82196002819,14,69471.6030709329,193.7811109047135,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,14,69471.6030709329,20,69601.92578833614,130.3227174032376,normal,0.0
2,CZ3562_3421d5ba.csv,68994.25329310558,154.8477777777778,1,12 13 14 20 21,20,69601.92578833614,21,69671.85632930741,69.93054097127145,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 21,12,49241.60880037038,13,49535.933520176266,294.3247198058861,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 21,13,49535.933520176266,14,49737.064949080814,201.13142890454745,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 21,14,49737.064949080814,20,49872.33094197176,135.2659928909466,normal,0.0
3,OQ2065_3421683b.csv_1,49226.60880037038,149.1888888888889,1,12 13 14 20 21,20,49872.33094197176,21,49944.91402070401,72.58307873225073,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,2 3 4 5 17 18 21,2,84522.80586951408,3,84661.38104927231,138.57517975823637,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,2 3 4 5 17 18 21,3,84661.38104927231,4,84893.93513649015,232.55408721784468,normal,0.0
4,ADD9084,84692.80586951408,174.39666666666668,2,2 3 4 5 17 18 21,4,84893.93513649015,5,85008.94923943064,115.01410294048684,normal,0.0
